,Phil Angelides,Arnold Schwarzenegger*,Edward C. Noonan,Peter Miguel Camejo,Art Olivier,Janice Jordan,"Donald ""Dr. Don"" Etkes","James
Harris",Vibert Greene,"Robert C. Newman, II",Elisha Shapiro,Dealphria Christina Tarver
,DEM,REP,AI,GRN,LIB,PF,IND (W/I),IND (W/I),IND (W/I),REP (W/I),IND (W/I),IND (W/I)
,,,,,,,,,,,,
  Percent,34.3%,61.1%,0.7%,1.5%,1.8%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Yolo,"21,733","29,073",170,"2,602",483,391,1,0,0,0,5,0
  Percent,40.0%,53.4%,0.3%,4.8%,0.8%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Yuba,"2,973","10,122",181,344,188,130,0,0,0,0,0,0
  Percent,21.4%,72.7%,1.2%,2.5%,1.3%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
State Totals,"3,376,732","4,850,157","61,901","205,995","114,329","69,934",43,46,18,219,36,6
  Percent,39.0%,55.9%,0.7%,2.3%,1.3%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
,,,,,,,,,,,,
