,Akinyemi Agbede,Delaine Eastin,Albert Caesar Mezzetti,Thomas Jefferson Cares,Klement Tinaj,J. Bribiesca,John Chiang,Gavin Newsom,Michael Shellenberger,Antonio Villaraigosa,Amanda Renteria,Robert Davidson Griffis,Yvonne Girard,"Robert C. Newman, II",John H. Cox,"Peter Y
 Liu",Travis Allen,Christopher N. Carlson,"Josh
 Jones",Nickolas Wildstar,Zoltan Istvan,"Gloria Estela 
La Riva",Desmond Silveira,Jeffrey Edward Taylor,Johnny Wattenburg,Shubham Goel,"Hakan ""Hawk"" Mikado","K. 
Pearce",Veronika Fimbres,Peter Crawford Valentino,Arman Soltani,"Armando M.
Arreola"
,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,REP,REP,REP,REP,REP,GRN,GRN,LIB,LIB,PF,NPP,NPP,NPP,NPP,NPP,REP (W/I),GRN (W/I),NPP (W/I),NPP (W/I),NPP (W/I)
  Percent,0.2%,2.4%,0.2%,0.2%,0.1%,0.2%,9.3%,26.3%,0.9%,11.1%,1.4%,0.1%,0.3%,0.6%,31.4%,0.2%,13.6%,0.1%,0.1%,0.2%,0.2%,0.2%,0.2%,0.1%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,178,"2,965",103,77,21,110,"6,290","28,409",641,"5,787","1,210",81,255,442,"25,223",210,"12,543",95,173,177,253,192,48,24,66,42,67,0,0,2,0,0
  Percent,0.2%,3.5%,0.1%,0.1%,0.0%,0.1%,7.3%,33.2%,0.7%,6.8%,1.4%,0.1%,0.3%,0.5%,29.4%,0.2%,14.6%,0.1%,0.2%,0.2%,0.3%,0.2%,0.1%,0.0%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,102,"5,875",465,87,175,334,"11,894","92,529",544,"17,416","2,223",155,368,"1,165","23,390",684,"8,545",147,374,256,392,467,101,149,66,71,202,0,1,0,1,0
  Percent,0.1%,3.5%,0.3%,0.1%,0.1%,0.2%,7.1%,55.0%,0.3%,10.4%,1.3%,0.1%,0.2%,0.7%,13.9%,0.4%,5.1%,0.1%,0.2%,0.2%,0.2%,0.3%,0.1%,0.1%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,325,"3,171",152,111,57,196,"6,139","30,748",753,"11,207","1,519",103,286,541,"23,803",149,"10,419",105,167,189,210,174,79,43,108,38,68,0,1,0,1,0
  Percent,0.4%,3.5%,0.2%,0.1%,0.1%,0.2%,6.8%,33.8%,0.8%,12.3%,1.7%,0.1%,0.3%,0.6%,26.2%,0.2%,11.5%,0.1%,0.2%,0.2%,0.2%,0.2%,0.1%,0.0%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,528,"11,584","1,060",329,84,"2,296","27,594","172,592","1,525","38,845","4,863",852,"1,371","4,567","49,586","2,711","29,577",217,"1,324",898,"1,013","1,281",242,120,215,624,320,0,0,4,1,0
  Percent,0.1%,3.3%,0.3%,0.1%,0.0%,0.6%,7.7%,48.5%,0.4%,10.9%,1.4%,0.2%,0.4%,1.3%,13.9%,0.8%,8.3%,0.1%,0.4%,0.3%,0.3%,0.4%,0.1%,0.0%,0.1%,0.2%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,83,"4,133",93,52,37,512,"3,177","37,187",491,"8,185","1,338",127,180,336,"8,390",377,"4,968",82,269,153,210,429,56,28,66,28,28,0,0,0,0,0
  Percent,0.1%,5.8%,0.1%,0.1%,0.1%,0.7%,4.5%,52.4%,0.7%,11.5%,1.9%,0.2%,0.3%,0.5%,11.8%,0.5%,7.0%,0.1%,0.4%,0.2%,0.3%,0.6%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
