"","County","Candidate","Party","Votes","PercentageOfTotalVotes","TotalCountyVotes","Year"
"2037","Mason","Gary Johnson ","Libertarian Party",357,1.2644,28235,2012
"2038","Mason","Virgil Goode ","Constitution Party",104,0.3683,28235,2012
"2039","Mason","Jill Stein ","Green Party",175,0.6198,28235,2012
"2040","Mason","Peta Lindsay ","Socialism & Liberation Party",17,0.0602,28235,2012
"2041","Mason","James Harris ","Socialist Workers Party",9,0.0319,28235,2012
"2042","Mason","Ross C. (Rocky) Anderson ","Justice Party",48,0.17,28235,2012
"2043","Okanogan","Barack Obama ","Democratic Party",7108,42.194,16846,2012
"2044","Okanogan","Mitt Romney ","Republican Party",9221,54.737,16846,2012
"2045","Okanogan","Gary Johnson ","Libertarian Party",237,1.4069,16846,2012
"2046","Okanogan","Virgil Goode ","Constitution Party",86,0.5105,16846,2012
"2047","Okanogan","Jill Stein ","Green Party",142,0.8429,16846,2012
"2048","Okanogan","Peta Lindsay ","Socialism & Liberation Party",10,0.0594,16846,2012
"2049","Okanogan","James Harris ","Socialist Workers Party",8,0.0475,16846,2012
"2050","Okanogan","Ross C. (Rocky) Anderson ","Justice Party",34,0.2018,16846,2012
"2051","Pacific","Barack Obama ","Democratic Party",5711,54.2664,10524,2012
"2052","Pacific","Mitt Romney ","Republican Party",4499,42.7499,10524,2012
"2053","Pacific","Gary Johnson ","Libertarian Party",152,1.4443,10524,2012
"2054","Pacific","Virgil Goode ","Constitution Party",49,0.4656,10524,2012
"2055","Pacific","Jill Stein ","Green Party",70,0.6651,10524,2012
"2056","Pacific","Peta Lindsay ","Socialism & Liberation Party",6,0.057,10524,2012
"2057","Pacific","James Harris ","Socialist Workers Party",11,0.1045,10524,2012
"2058","Pacific","Ross C. (Rocky) Anderson ","Justice Party",26,0.2471,10524,2012
"2059","Pend Oreille","Barack Obama ","Democratic Party",2508,37.6125,6668,2012
"2060","Pend Oreille","Mitt Romney ","Republican Party",3952,59.2681,6668,2012
"2061","Pend Oreille","Gary Johnson ","Libertarian Party",103,1.5447,6668,2012
"2062","Pend Oreille","Virgil Goode ","Constitution Party",40,0.5999,6668,2012
"2063","Pend Oreille","Jill Stein ","Green Party",42,0.6299,6668,2012
"2064","Pend Oreille","Peta Lindsay ","Socialism & Liberation Party",4,0.06,6668,2012
"2065","Pend Oreille","James Harris ","Socialist Workers Party",5,0.075,6668,2012
"2066","Pend Oreille","Ross C. (Rocky) Anderson ","Justice Party",14,0.21,6668,2012
"2067","Pierce","Barack Obama ","Democratic Party",186430,54.367,342910,2012
"2068","Pierce","Mitt Romney ","Republican Party",148467,43.2962,342910,2012
"2069","Pierce","Gary Johnson ","Libertarian Party",4584,1.3368,342910,2012
"2070","Pierce","Virgil Goode ","Constitution Party",1010,0.2945,342910,2012
"2071","Pierce","Jill Stein ","Green Party",1777,0.5182,342910,2012
"2072","Pierce","Peta Lindsay ","Socialism & Liberation Party",135,0.0394,342910,2012
"2073","Pierce","James Harris ","Socialist Workers Party",113,0.033,342910,2012
"2074","Pierce","Ross C. (Rocky) Anderson ","Justice Party",394,0.1149,342910,2012
"2075","San Juan","Barack Obama ","Democratic Party",7125,67.2551,10594,2012
"2076","San Juan","Mitt Romney ","Republican Party",3111,29.3657,10594,2012
"2077","San Juan","Gary Johnson ","Libertarian Party",140,1.3215,10594,2012
"2078","San Juan","Virgil Goode ","Constitution Party",8,0.0755,10594,2012
"2079","San Juan","Jill Stein ","Green Party",175,1.6519,10594,2012
"2080","San Juan","Peta Lindsay ","Socialism & Liberation Party",7,0.0661,10594,2012
"2081","San Juan","James Harris ","Socialist Workers Party",2,0.0189,10594,2012
"2082","San Juan","Ross C. (Rocky) Anderson ","Justice Party",26,0.2454,10594,2012
"2083","Skagit","Barack Obama ","Democratic Party",28688,51.9061,55269,2012
"2084","Skagit","Mitt Romney ","Republican Party",25071,45.3618,55269,2012
"2085","Skagit","Gary Johnson ","Libertarian Party",785,1.4203,55269,2012
"2086","Skagit","Virgil Goode ","Constitution Party",165,0.2985,55269,2012
"2087","Skagit","Jill Stein ","Green Party",431,0.7798,55269,2012
"2088","Skagit","Peta Lindsay ","Socialism & Liberation Party",21,0.038,55269,2012
"2089","Skagit","James Harris ","Socialist Workers Party",16,0.0289,55269,2012
"2090","Skagit","Ross C. (Rocky) Anderson ","Justice Party",92,0.1665,55269,2012
"2091","Skamania","Barack Obama ","Democratic Party",2628,48.079,5466,2012
"2092","Skamania","Mitt Romney ","Republican Party",2687,49.1584,5466,2012
"2093","Skamania","Gary Johnson ","Libertarian Party",84,1.5368,5466,2012
"2094","Skamania","Virgil Goode ","Constitution Party",13,0.2378,5466,2012
"2095","Skamania","Jill Stein ","Green Party",40,0.7318,5466,2012
"2096","Skamania","Peta Lindsay ","Socialism & Liberation Party",4,0.0732,5466,2012
"2097","Skamania","James Harris ","Socialist Workers Party",1,0.0183,5466,2012
"2098","Skamania","Ross C. (Rocky) Anderson ","Justice Party",9,0.1647,5466,2012
"2099","Snohomish","Barack Obama ","Democratic Party",188516,57.1578,329817,2012
"2100","Snohomish","Mitt Romney ","Republican Party",133016,40.3302,329817,2012
"2101","Snohomish","Gary Johnson ","Libertarian Party",4788,1.4517,329817,2012
"2102","Snohomish","Virgil Goode ","Constitution Party",1002,0.3038,329817,2012
"2103","Snohomish","Jill Stein ","Green Party",1753,0.5315,329817,2012
"2104","Snohomish","Peta Lindsay ","Socialism & Liberation Party",129,0.0391,329817,2012
"2105","Snohomish","James Harris ","Socialist Workers Party",123,0.0373,329817,2012
"2106","Snohomish","Ross C. (Rocky) Anderson ","Justice Party",490,0.1486,329817,2012
"2107","Spokane","Barack Obama ","Democratic Party",102295,45.7021,223830,2012
"2108","Spokane","Mitt Romney ","Republican Party",115285,51.5056,223830,2012
"2109","Spokane","Gary Johnson ","Libertarian Party",3257,1.4551,223830,2012
"2110","Spokane","Virgil Goode ","Constitution Party",1086,0.4852,223830,2012
"2111","Spokane","Jill Stein ","Green Party",1361,0.6081,223830,2012
"2112","Spokane","Peta Lindsay ","Socialism & Liberation Party",118,0.0527,223830,2012
"2113","Spokane","James Harris ","Socialist Workers Party",84,0.0375,223830,2012
"2114","Spokane","Ross C. (Rocky) Anderson ","Justice Party",344,0.1537,223830,2012
"2115","Stevens","Barack Obama ","Democratic Party",7762,35.0255,22161,2012
"2116","Stevens","Mitt Romney ","Republican Party",13691,61.7797,22161,2012
"2117","Stevens","Gary Johnson ","Libertarian Party",329,1.4846,22161,2012
"2118","Stevens","Virgil Goode ","Constitution Party",194,0.8754,22161,2012
"2119","Stevens","Jill Stein ","Green Party",130,0.5866,22161,2012
"2120","Stevens","Peta Lindsay ","Socialism & Liberation Party",11,0.0496,22161,2012
"2121","Stevens","James Harris ","Socialist Workers Party",13,0.0587,22161,2012
"2122","Stevens","Ross C. (Rocky) Anderson ","Justice Party",31,0.1399,22161,2012
"2123","Thurston","Barack Obama ","Democratic Party",74037,58.2679,127063,2012
"2124","Thurston","Mitt Romney ","Republican Party",49287,38.7894,127063,2012
"2125","Thurston","Gary Johnson ","Libertarian Party",1737,1.367,127063,2012
