,year,prim_or_gen,county,eligible,registered,dem,rep,ind,lib,np
766,2018,prim,Ventura,549893,433496,176679,133969,10267,1791,100736
767,2018,prim,Yolo,150863,111128,53455,22429,3128,817,29057
768,2018,prim,Yuba,48356,32745,9047,11991,1653,152,9112
771,2008,prim,Alameda,975263,704320,390950,117845,11714,11628,160892
772,2008,prim,Alpine,944,787,284,283,27,14,171
773,2008,prim,Amador,26490,20627,7228,9561,664,139,2765
774,2008,prim,Butte,158118,119131,41522,47562,3480,2027,22249
775,2008,prim,Calaveras,35113,27006,9181,11871,856,308,4303
776,2008,prim,Colusa,11924,7852,2776,3625,197,25,1164
777,2008,prim,Contra Costa,691629,475821,231047,136831,9380,3770,88277
778,2008,prim,Del Norte,17516,12233,4576,4739,402,117,2161
779,2008,prim,El Dorado,126891,100551,31044,46316,2745,962,17877
780,2008,prim,Fresno,528743,352661,139805,154326,6538,1636,44744
781,2008,prim,Glenn,17413,11640,3775,5461,351,45,1899
782,2008,prim,Humboldt,98869,75175,31708,21660,1837,3404,15447
783,2008,prim,Imperial,88167,52367,28542,13557,988,112,8446
784,2008,prim,Inyo,13123,9944,3240,4511,293,95,1655
785,2008,prim,Kern,466919,282829,100728,131878,7658,706,39426
786,2008,prim,Kings,76608,46101,16984,21919,937,107,5598
787,2008,prim,Lake,46478,32744,14116,10233,1050,399,6529
788,2008,prim,Lassen,18098,13441,3921,6332,601,55,2372
789,2008,prim,Los Angeles,5712484,3963780,1986965,1026123,69063,24336,784296
790,2008,prim,Madera,82178,50521,17297,24184,1139,214,7137
791,2008,prim,Marin,180129,143628,76163,30992,2577,2890,29556
