county	year	prim_or_gen	registered	ballots_cast	vote_pres_dem	vote_pres_rep	vote_pres_other	vote_gov_rep	vote_gov_dem	vote_gov_other	vote_sen_dem	vote_sen_rep	vote_sen_other
Grand	2008	general	6,019	4,145	2,067	1,871	139	2,505	1,295	149			
Iron	2008	general	23,415	16,813	3,258	12,518	674	14,060	1,702	498			
Juab	2008	general	6,124	3,709	741	2,683	192	2,464	542	156			
Kane	2008	general	4,424	3,252	856	2,212	86	2,447	575	82			
Millard	2008	general	6,097	4,851	758	3,653	328	3,743	676	255			
Morgan	2008	general	5,267	4,222	689	3,311	161	3,615	374	123			
Piute	2008	general	977	810	141	635	22	662	95	26			
Rich	2008	general	1,625	1,018	154	831	21	878	89	19			
Salt Lake	2008	general	521,039	369,884	176,988	176,692	10,069	250,311	103,290	9,062			
San Juan	2008	general	6,946	5,186	2,406	2,638	86	3,050	1,879	139			
Sanpete	2008	general	11,756	8,965	1,631	6,664	476	7,125	1,182	339			
Sevier	2008	general	10,921	8,158	1,359	6,394	254	6,488	1,074	264			
Summit	2008	general	27,277	17,059	9,532	6,956	321	11,771	4,469	369			
Tooele	2008	general	26,604	17,612	5,830	10,998	509	13,442	3,276	536			
Uintah	2008	general	18,392	10,266	1,462	8,441	248	8,697	995	257			
Utah	2008	general	249,368	162,015	29,567	122,224	5,488	136,753	15,801	4,476			
Wasatch	2008	general	15,037	8,671	2,892	5,430	209	6,834	1,407	182			
Washington	2008	general	72,723	50,621	10,826	37,311	1,392	41,254	6,445	1,142			
Wayne	2008	general	1,850	1,333	335	940	39	1018	234	30			
Weber	2008	general	134,776	74,613	25,666	45,885	1,843	56,855	13,784	1,845			
Beaver	2006	general	3,962	2,345						24,973	435	1,688	
Box Elder	2006	general	25,424	13,004							2374	9,422	
Cache	2006	general	67,563	21,588							4,412	14,611	
Carbon	2006	general	15,095	5,005							2,255	2,408	
Daggett	2006	general	769	597							127	402	
Davis	2006	general	146,774	61,947							14,632	43,023	
Duchesne	2006	general	9,684	4,074							574	3,098	
Emery	2006	general	7,128	3,917							780	2,764	
Garfield	2006	general	2,844	1,715							253	1,324	
Grand	2006	general	7,887	3,013							1,272	1,425	
Iron	2006	general	21,808	10,128							1,701	7,274	
Juab	2006	general	6,620	3,403							729	2,200	
Kane	2006	general	4,230	2,429							518	1,701	
Millard	2006	general	6,580	3,971							626	2,667	
Morgan	2006	general	6,102	3,468							577	2,558	
Piute	2006	general	982	752							99	595	
Rich	2006	general	1,481	857							86	702	
Salt Lake	2006	general	491,108	226,939							96,779	113,359	
San Juan	2006	general	6,831	4,052							1,220	2,529	
Sanpete	2006	general	12,170	6,677							1,094	4,726	
Sevier	2006	general	11,383	5,899							830	4,324	
Summit	2006	general	24,558	11,229							5,322	4,980	
Tooele	2006	general	30,856	12,387							3,438	7,794	
Uintah	2006	general	17,804	6,141							815	4,690	
Utah	2006	general	199,622	87,271							14,464	65,413	
Wasatch	2006	general	13,929	6,102							1,587	4,062	
Washington	2006	general	61,089	29,963							6,220	20,746	
Wayne	2006	general	1,766	1,192							210	890	
Weber	2006	general	96,356	42,496							14,030	24,863	
Beaver	2004	general	3,722	2,612	493	2,023	28	1,541	991	17	623	1,799	
Box Elder	2004	general	30,451	18,648	2,244	15,751	373	12,631	5,497	166	2,726	14,924	
Cache	2004	general	64,675	40,335	6,375	32,486	870	25,307	13,660	278	6,834	31,153	
Carbon	2004	general	14,646	8,678	3,415	4,950	143	3,232	5,111	68	3,806	4,197	
Daggett	2004	general	683	487	108	380	11	287	194	0	120	328	
Davis	2004	general	139,597	110,792	20,893	86,187	2,188	68,545	38,726	782	23,044	81,724	
Duchesne	2004	general	9,056	5,698	738	4,742	76	3,939	1,550	36	890	4,417	
Emery	2004	general	6,978	4,749	831	3,781	66	2,754	1,848	56	1,063	3,450	
Garfield	2004	general	3,184	2,225	264	1,848	50	1,562	558	20	341	1,713	
