,Hillary Clinton,Bernie Sanders,"Roque
De La Fuente",Henry Hewes,"Keith
Judd",Michael Steinberg,Willie Wilson,Kevin M. Moreau,Willie Felix Carter,Andrew D. Basiago,Ignació León Nuñez,"Doug
Terry","Ben
Carson","Ted 
Cruz",John R. Kasich,Donald Trump,Jim Gilmore,Joann Breivogel,Victor Williams,Troy Hugh Southern,John Dowell,James Alexander-Pace,James Orlando Ogle III,David P. Thomson,Donald J. Gonzales,Frederic Vidal,James Germalio,Alan Spears,Arthur Harris,"J.R. 
Myers",James Hedges,Robert Ornelas,Thomas Hoefling,Wiley Drake,Darryl Cherney,William Kreml,Kent Mesplay,"Jill 
Stein",Sedinam Moyowasifsa-Curry,Gary Johnson,John McAfee,Marc Feldman,"Cecil 
Ince",Steve Kerbel,Darryl W. Perry,Austin Petersen,Derrick M. Reid,Rhett White Feather Smith,Joy Waymire,"John 
Hale","Jack Robinson, Jr.",Gloria Estela La Riva,Lynn S. Kahn,Monica Moorehead
,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM (W/I),DEM (W/I),DEM (W/I),DEM (W/I),DEM (W/I),REP,REP,REP,REP,REP,REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),AI,AI,AI,AI,AI,AI,AI,GRN,GRN,GRN,GRN,GRN,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,PF,PF,PF
  Percent,65.0%,33.7%,0.5%,0.2%,0.1%,0.2%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,4.9%,14.8%,6.7%,73.0%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,15.3%,10.4%,15.3%,9.0%,38.2%,4.2%,7.6%,26.7%,13.3%,0.0%,60.0%,0.0%,55.7%,3.3%,0.0%,3.3%,4.9%,4.9%,11.5%,1.6%,6.6%,4.9%,3.3%,0.0%,43.8%,31.3%,25.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inyo,"1,001","1,313",5,5,8,6,20,0,0,0,0,0,126,176,223,"1,924",13,0,0,0,0,0,0,0,0,0,0,7,12,7,7,6,9,5,1,0,0,10,1,25,3,1,1,1,0,5,1,5,1,1,2,5,1,0
  Percent,42.5%,55.7%,0.2%,0.2%,0.3%,0.3%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,5.1%,7.1%,9.1%,78.1%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,13.2%,22.6%,13.2%,13.2%,11.3%,17.0%,9.4%,8.3%,0.0%,0.0%,83.3%,8.3%,54.3%,6.5%,2.2%,2.2%,2.2%,0.0%,10.9%,2.2%,10.9%,2.2%,2.2%,4.3%,83.3%,16.7%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kern,"28,806","23,374",206,154,185,208,301,0,0,0,0,0,"2,600","7,673","4,278","50,186",224,0,0,0,0,0,0,0,0,0,0,177,192,119,97,166,98,115,15,6,4,78,3,365,58,16,7,13,20,51,10,45,17,18,8,31,13,13
  Percent,54.1%,43.9%,0.4%,0.3%,0.3%,0.4%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,4.0%,11.8%,6.6%,77.3%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,18.4%,19.9%,12.3%,10.1%,17.2%,10.2%,11.9%,14.2%,5.7%,3.8%,73.6%,2.8%,58.1%,9.2%,2.5%,1.1%,2.1%,3.2%,8.1%,1.6%,7.2%,2.7%,2.9%,1.3%,54.4%,22.8%,22.8%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings,"4,150","2,869",32,22,17,35,59,0,0,0,0,0,360,922,482,"7,446",62,0,0,0,0,0,0,0,0,0,0,14,12,19,18,25,10,12,1,0,0,6,1,26,6,0,1,0,4,9,0,3,4,1,2,5,0,0
  Percent,57.8%,39.9%,0.4%,0.3%,0.2%,0.5%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,3.9%,9.9%,5.2%,80.3%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.7%,10.9%,17.3%,16.4%,22.7%,9.1%,10.9%,12.5%,0.0%,0.0%,75.0%,12.5%,46.4%,10.7%,0.0%,1.8%,0.0%,7.1%,16.1%,0.0%,5.4%,7.1%,1.8%,3.6%,100.0%,0.0%,0.0%
