,Hillary Clinton,Donald J. Trump,"Jill 
Stein",Gary Johnson,"Gloria Estela
 La Riva",Laurence Kotlikoff,Mike Maturen,Evan McMullin,"Bernard ""Bernie"" Sanders","Jerry
 White"
,DEM,"REP, AI",GRN,LIB,PF,(W/I),(W/I),(W/I),(W/I),(W/I)
Tehama,"6,809","15,494",290,953,138,0,3,82,139,0
  Percent,28.5%,64.8%,1.2%,4.0%,0.6%,0.0%,0.0%,0.3%,0.6%,0.0%
,,,,,,,,,,
Trinity,"2,214","2,812",239,302,21,0,0,18,80,0
  Percent,38.9%,49.5%,4.2%,5.3%,0.4%,0.0%,0.0%,0.3%,1.4%,0.0%
,,,,,,,,,,
Tulare,"47,585","58,299","1,620","3,800",636,0,5,163,226,0
  Percent,42.4%,51.9%,1.4%,3.4%,0.6%,0.0%,0.0%,0.1%,0.2%,0.0%
,,,,,,,,,,
Tuolumne,"9,123","14,551",384,"1,101",63,0,0,71,236,0
  Percent,35.7%,57.0%,1.5%,4.3%,0.2%,0.0%,0.0%,0.3%,0.9%,0.0%
,,,,,,,,,,
Ventura,"194,402","132,323","6,315","13,679","1,481",9,60,"1,422","2,031",4
  Percent,55.3%,37.6%,1.8%,3.9%,0.4%,0.0%,0.0%,0.4%,0.6%,0.0%
,,,,,,,,,,
Yolo,"54,752","20,739","1,779","3,346",358,5,11,256,844,0
  Percent,66.7%,25.3%,2.2%,4.1%,0.4%,0.0%,0.0%,0.3%,1.0%,0.0%
,,,,,,,,,,
Yuba,"7,910","13,170",438,"1,063",168,0,0,111,138,0
  Percent,34.4%,57.3%,1.9%,4.6%,0.7%,0.0%,0.0%,0.5%,0.6%,0.0%
,,,,,,,,,,
State Totals,"8,753,792","4,483,814","278,658","478,500","66,101",402,"1,316","39,596","79,341",84
  Percent,61.7%,31.6%,2.0%,3.4%,0.5%,0.0%,0.0%,0.3%,0.6%,0.0%
,,,,,,,,,,
,,,,,,,,,,
