,Barack Obama*,Mitt Romney,Thomas Hoefling,"Jill 
Stein",Gary Johnson,Roseanne Barr,"Ross C. ""Rocky"" Anderson","Shelia ""Samm"" Tittle",Stephen Durham,"Ron 
Paul",James Harris,Virgil Goode,"Jerry 
White",Stewart Alexander
,DEM,REP,AI,GRN,LIB,PF,NPP (W/I),NPP (W/I),NPP (W/I),NPP (W/I),NPP (W/I),NPP (W/I),NPP (W/I),NPP (W/I)
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
San Diego,"626,957","536,726","1,614","5,787","14,656","3,231",70,1,0,"3,140",10,70,13,7
  Percent,52.6%,45.0%,0.1%,0.5%,1.2%,0.3%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
San Francisco,"301,723","47,076",439,"5,494","4,096","1,897",86,0,28,347,10,2,5,6
  Percent,83.5%,13.0%,0.1%,1.5%,1.1%,0.5%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
San Joaquin,"114,121","86,071",553,773,"1,839",920,6,0,0,402,1,10,1,0
  Percent,55.8%,42.0%,0.3%,0.4%,0.9%,0.4%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
San Luis Obispo,"61,258","59,967",420,"1,085","1,776",460,17,0,0,631,1,21,2,0
  Percent,48.8%,47.7%,0.3%,0.9%,1.4%,0.4%,0.0%,0.0%,0.0%,0.5%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
San Mateo,"206,085","72,756",597,"1,957","2,926",819,27,0,1,535,6,5,2,4
  Percent,72.1%,25.5%,0.2%,0.7%,1.0%,0.3%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Santa Barbara,"94,129","64,606",438,"1,322","2,063",509,14,0,0,234,1,3,1,0
  Percent,57.6%,39.6%,0.3%,0.8%,1.3%,0.3%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Santa Clara,"450,818","174,843","1,712","4,391","7,889","2,298",75,0,0,"1,040",2,13,5,5
  Percent,70.1%,27.2%,0.3%,0.7%,1.2%,0.4%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Santa Cruz,"90,805","24,047",278,"1,857","1,971",675,39,0,2,415,0,5,1,0
  Percent,75.6%,20.0%,0.2%,1.5%,1.6%,0.6%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Shasta,"25,819","48,067",434,389,926,403,5,0,0,285,0,7,0,0
  Percent,33.8%,63.0%,0.6%,0.5%,1.2%,0.5%,0.0%,0.0%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Sierra,653,"1,056",12,24,19,16,0,0,0,15,0,0,0,0
  Percent,36.4%,58.8%,0.7%,1.3%,1.1%,0.9%,0.0%,0.0%,0.0%,0.8%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Siskiyou,"8,046","11,077",117,152,242,133,2,0,0,141,0,0,0,0
  Percent,40.4%,55.6%,0.6%,0.8%,1.2%,0.7%,0.0%,0.0%,0.0%,0.7%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Solano,"96,783","52,092",563,641,"1,445",620,13,0,1,278,2,6,0,0
  Percent,63.5%,34.2%,0.4%,0.4%,0.9%,0.4%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Sonoma,"153,942","54,784",758,"2,745","2,754","1,128",34,0,0,355,0,2,4,2
  Percent,71.1%,25.3%,0.4%,1.3%,1.3%,0.5%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Stanislaus,"77,724","73,459",747,563,"1,499",966,6,0,0,390,0,15,0,0
  Percent,50.0%,47.3%,0.5%,0.4%,1.0%,0.6%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Sutter,"12,192","18,122",157,89,298,124,1,0,0,43,0,0,0,0
  Percent,39.3%,58.4%,0.5%,0.3%,1.0%,0.4%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Tehama,"7,934","14,235",190,125,244,186,0,0,0,63,0,0,0,0
  Percent,34.5%,62.0%,0.8%,0.5%,1.1%,0.8%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Trinity,"2,674","2,716",30,98,89,67,0,0,0,0,0,0,0,0
  Percent,47.1%,47.9%,0.5%,1.7%,1.6%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Tulare,"41,752","56,956",428,388,792,464,4,0,0,297,0,19,0,0
  Percent,41.3%,56.3%,0.4%,0.4%,0.8%,0.5%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Tuolumne,"9,998","13,880",141,145,315,129,0,0,0,79,0,0,0,0
  Percent,40.5%,56.2%,0.6%,0.6%,1.3%,0.5%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Ventura,"170,929","147,958","1,049","1,661","3,735","1,087",30,0,1,503,1,16,2,2
  Percent,52.3%,45.3%,0.3%,0.5%,1.1%,0.3%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Yolo,"48,715","23,368",113,729,"1,063",280,24,0,2,174,0,4,1,2
  Percent,65.4%,31.4%,0.2%,1.0%,1.4%,0.4%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Yuba,"7,711","11,275",111,110,306,133,2,0,0,52,0,0,0,0
  Percent,39.1%,57.2%,0.6%,0.6%,1.6%,0.7%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
State Totals,"7,854,285","4,839,958","38,372","85,638","143,221","53,824",992,6,54,"21,461",72,503,79,82
  Percent,60.2%,37.1%,0.3%,0.7%,1.1%,0.4%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
